
==============================================================================
Chorale: bwv253  (suffix: -opt.npy, spread_weight: 0.9)
==============================================================================
  Directory                                    lm   Mean    Max  MaxCh   Spread   Combined
  t2_r1.125_lm19_tmp3.0                        19   50.9     82     42     13.9       63.4
  t2_r1.25_lm17_tmp3.0                         17   50.9     82     42     14.0       63.6
  t2_r1.25_s0_md33_sn0_lm17                    17   50.9     82     42     14.3       63.8
  t2_r1.25_s0_md33_sn0_lm19                    19   50.9     82     42     14.5       63.9
  t2_r1.5_lm17_tmp3.0                          17   50.9     82     42     14.5       64.0
  t1_r1.125_s0_md33_sn0_lm17                   17   50.9     82     42     14.6       64.0
  t1_r1.375_lm17_tmp3.0                        17   50.9     82     42     14.6       64.0
  t2_r1.25_lm19_tmp3.0                         19   50.9     82     42     14.6       64.1
  t1_r1.375_lm19_tmp3.0                        19   50.9     82     42     14.6       64.1
  t1_r1.625_lm17_tmp3.0                        17   50.9     82     42     14.7       64.1
  t2_r1.5_s0_md33_sn0_lm17                     17   50.9     82     42     14.7       64.1
  t2_r1.75_s0_md33_sn0_lm17                    17   50.8     82     42     14.9       64.2
  t2_r1.625_lm17_tmp3.0                        17   50.9     82     42     14.8       64.2
  t1_r1.5_lm19_tmp3.0                          19   50.9     82     42     15.0       64.4
  t1_r1.75_s0_md33_sn0_lm19                    19   50.8     82     42     15.2       64.5
  t1_r1.375_s0_md33_sn0_lm19                   19   52.6    125    100     13.3       64.5
  t1_r1.5_lm17_tmp3.0                          17   50.9     82     42     15.2       64.6
  t1_r1.75_s0_md33_sn0_lm17                    17   50.8     82     42     15.5       64.7
  t1_r1.125_lm17_tmp3.0                        17   50.9     82     42     15.3       64.7
  t2_r1.625_s0_md33_sn0_lm19                   19   50.9     82     42     15.5       64.8
  t1_r1.25_lm17_tmp3.0                         17   50.9     82     42     15.6       64.9
  t1_r1.625_s0_md33_sn0_lm19                   19   50.9     82     42     15.6       65.0
  t1_r1.625_lm19_tmp3.0                        19   50.9     82     42     15.8       65.1
  t1_r1.375_s0_md33_sn0_lm17                   17   50.9     82     42     17.9       67.0
  t2_r1.125_s0_md33_sn0_lm19                   19   51.2     82     42     18.4       67.9
  t2_r1.5_s0_md33_sn0_lm19                     19   82.2   2047     40     13.1       94.0
  t2_r1.125_s0_md33_sn0_lm17                   17   82.1   2049     20     13.4       94.2
  t2_r1.5_lm19_tmp3.0                          19   82.2   2047     40     15.0       95.6

  Winner: t1_r1.5_s0_md33_sn0_lm19
    mean=50.8, max=82 at chord 42, spread=9.9, combined=59.7

==============================================================================
Chorale: bwv256  (suffix: -opt.npy, spread_weight: 0.9)
==============================================================================
  Directory                                    lm   Mean    Max  MaxCh   Spread   Combined
  ------------------------------------------   --  -----  -----  -----  -------  ---------
  t1_r1.375_s0_md33_sn0_lm17                   17   54.1    140    138     11.7       64.6 <-- BEST
  t1_r1.125_s0_md33_sn0_lm17                   17   53.9    140    138     12.6       65.2
  t1_r1.625_s0_md33_sn0_lm19                   19   53.9    140    138     12.6       65.2
  t1_r1.25_s0_md33_sn0_lm17                    17   54.1    140    138     12.5       65.4
  t1_r1.375_s0_md33_sn0_lm19                   19   54.1    140    138     12.8       65.6
  t2_r1.25_lm19_tmp3.0                         19   54.1    140    138     13.3       66.1
  t1_r1.75_s0_md33_sn0_lm17                    17   54.1    140    138     13.3       66.1
  t1_r1.25_s0_md33_sn0_lm19                    19   53.9    140    138     13.7       66.2
  t2_r1.625_s0_md33_sn0_lm17                   17   53.9    140    138     13.8       66.2
  t2_r1.125_lm19_tmp3.0                        19   54.1    140    138     13.6       66.3
  t1_r1.5_s0_md33_sn0_lm19                     19   54.1    140    138     13.8       66.5
