limit_max,tolerance,rolls,spread,n_trials,mean_score,median_score,min_score,max_score,p10_score,p90_score,score_std,mean_ms,median_ms,p90_ms,max_ms,n_chords
17,4,1,0,1,176.68026565464896,45.0,21.0,2089.0,43.0,1052.0,0.0,0.9487920154516651,0.4773770924657583,2.5437989970669164,5.113732069730759,2108
17,4,5,0,1,134.25426944971537,45.0,21.0,2059.0,43.0,95.59999999999991,0.0,2.1762602100549056,0.8995209354907274,6.930469372309744,12.801362085156143,2108
17,4,8,0,1,134.25426944971537,45.0,21.0,2059.0,43.0,95.59999999999991,0.0,2.5113792927870873,1.3162249233573675,7.488621561788025,14.2836730228737,2108
19,1,0,0,1,5228.557874762809,5135.0,3021.0,6222.0,5111.0,6178.0,0.0,0.03364480015042485,0.027199042961001396,0.050079612992703915,0.05866400897502899,2108
19,1,1,0,1,272.6484819734345,45.0,21.0,2125.0,43.0,1088.0,0.0,0.8624741907644065,0.2514519728720188,2.360108541324738,4.720267956145108,2108
19,1,5,0,1,272.6484819734345,45.0,21.0,2125.0,43.0,1088.0,0.0,2.1555312780052924,0.8985260501503944,6.689717527478934,51.081525976769626,2108
19,1,8,0,1,272.6484819734345,45.0,21.0,2125.0,43.0,1088.0,0.0,2.4072766395694924,1.298367977142334,7.170061417855326,12.45114195626229,2108
19,2,0,0,1,2116.1290322580644,2135.0,21.0,6178.0,1127.0,3178.0,0.0,0.033555489893229,0.027004978619515896,0.04958154167979956,0.06360304541885853,2108
19,2,1,0,1,175.16413662239088,45.0,21.0,2120.0,43.0,1076.7999999999997,0.0,0.961249081964637,0.4828158998861909,2.559481421485545,5.015116999857128,2108
19,2,5,0,1,147.46442125237192,45.0,21.0,2083.0,43.0,121.19999999999982,0.0,2.195456444810168,0.9108990198001266,6.997749395668507,12.000110000371933,2108
19,2,8,0,1,147.46442125237192,45.0,21.0,2083.0,43.0,121.19999999999982,0.0,2.5227018363666494,1.3503090012818575,7.533015240915122,12.824228033423424,2108
19,3,0,0,1,1918.785578747628,2135.0,21.0,5215.0,1101.0,2178.0,0.0,0.03389955796234283,0.026885070838034153,0.049482984468340874,0.5276140291243792,2108
19,3,1,0,1,111.23576850094877,45.0,21.0,2120.0,43.0,95.0,0.0,1.0003610663641453,0.4946900298818946,2.7308777440339336,5.3375320276245475,2108
19,3,5,0,1,82.69259962049335,45.0,21.0,2059.0,43.0,90.0,0.0,2.2693150353954494,0.9225159883499146,7.180172833614052,12.876068940386176,2108
19,3,8,0,1,82.69259962049335,45.0,21.0,2059.0,43.0,90.0,0.0,2.551064164252529,1.364181051030755,7.608253206126393,13.881047023460269,2108
