
==============================================================================
Chorale: bwv253  (suffix: -trans-sa-opt.npy, spread_weight: 0.9)
==============================================================================
  Directory                                    lm   Mean    Max  MaxCh   Spread   Combined
  t1_r1.25_lm17_tmp3.0                         17   50.9     82     42     19.0       68.0
  t1_r1.375_s0_md33_sn0_lm19                   19   52.6    125    100     18.3       69.1
  t1_r1.75_s0_md33_sn0_lm19                    19   50.8     82     42     20.5       69.3
  t2_r1.125_s0_md33_sn0_lm19                   19   51.2     82     42     20.1       69.3
  t1_r1.25_s0_md33_sn0_lm19                    19   50.9     82     42     20.9       69.7
  t2_r1.125_s0_md33_sn0_lm17                   17   82.1   2049     20     16.6       97.0
  t2_r1.5_lm19_tmp3.0                          19   82.2   2047     40     17.0       97.4
  t2_r1.5_s0_md33_sn0_lm19                     19   82.2   2047     40     18.1       98.5

  Winner: t2_r1.375_s0_md33_sn0_lm19
    mean=50.8, max=82 at chord 42, spread=12.5, combined=62.0

==============================================================================
Chorale: bwv256  (suffix: -trans-sa-opt.npy, spread_weight: 0.9)
==============================================================================
  Directory                                    lm   Mean    Max  MaxCh   Spread   Combined
  ------------------------------------------   --  -----  -----  -----  -------  ---------
  t1_r1.625_s0_md33_sn0_lm19                   19   53.9    140    138     13.7       66.2 <-- BEST
  t1_r1.375_s0_md33_sn0_lm17                   17   54.1    140    138     13.7       66.4
  t2_r1.125_lm17_tmp3.0                        17   54.1    140    138     14.6       67.2
  t2_r1.75_s0_md33_sn0_lm17                    17   53.9    140    138     15.1       67.4
  t1_r1.125_lm17_tmp3.0                        17   54.9    140    138     14.1       67.6
  t1_r1.375_lm17_tmp3.0                        17   54.1    140    138     15.0       67.6
  t1_r1.125_lm19_tmp3.0                        19   54.1    140    138     15.0       67.7
  t2_r1.375_lm19_tmp3.0                        19   54.1    140    138     15.3       67.9
  t1_r1.5_s0_md33_sn0_lm17                     17   54.7    140    138     14.7       67.9
  t2_r1.625_s0_md33_sn0_lm17                   17   53.9    140    138     15.7       68.0
  t2_r1.25_lm19_tmp3.0                         19   54.1    140    138     15.5       68.0
  t2_r1.625_lm17_tmp3.0                        17   54.1    140    138     16.2       68.7
  t2_r1.5_s0_md33_sn0_lm17                     17   54.1    140    138     16.2       68.7
  t2_r1.5_lm19_tmp3.0                          19   54.1    140    138     16.2       68.7
  t1_r1.5_lm19_tmp3.0                          19   54.1    140    138     16.4       68.9
  t1_r1.75_s0_md33_sn0_lm17                    17   54.1    140    138     16.5       68.9
  t1_r1.25_s0_md33_sn0_lm17                    17   54.1    140    138     16.6       69.0
  t2_r1.375_s0_md33_sn0_lm19                   19   53.9    140    138     17.0       69.1
  t2_r1.25_lm17_tmp3.0                         17   54.1    140    138     17.1       69.5
  t1_r1.25_lm19_tmp3.0                         19   54.1    140    138     17.2       69.6
  t2_r1.5_lm17_tmp3.0                          17   54.1    140    138     17.2       69.6
  t1_r1.125_s0_md33_sn0_lm19                   19   54.9    140    138     16.4       69.7
  t1_r1.625_s0_md33_sn0_lm17                   17   54.1    140    138     17.4       69.7
  t2_r1.5_s0_md33_sn0_lm19                     19   54.1    140    138     17.4       69.7
  t1_r1.625_lm19_tmp3.0                        19   54.1    140    138     17.5       69.8
  t2_r1.125_s0_md33_sn0_lm19                   19   54.8    140    138     16.7       69.9
  t1_r1.25_lm17_tmp3.0                         17   54.1    140    138     17.7       70.0
  t2_r1.375_lm17_tmp3.0                        17   54.9    140    138     17.0       70.2
  t1_r1.25_s0_md33_sn0_lm19                    19   53.9    140    138     18.2       70.2
  t2_r1.375_s0_md33_sn0_lm17                   17   53.9    140    138     18.2       70.3
  t1_r1.375_s0_md33_sn0_lm19                   19   54.1    140    138     18.0       70.3
  t2_r1.25_s0_md33_sn0_lm19                    19   54.9    140    138     17.3       70.5
  t2_r1.125_lm19_tmp3.0                        19   54.1    140    138     18.4       70.7
  t1_r1.625_lm17_tmp3.0                        17   54.1    140    138     18.6       70.8
  t2_r1.625_s0_md33_sn0_lm19                   19   54.7    140    138     18.0       70.9
  t1_r1.5_lm17_tmp3.0                          17   54.1    140    138     18.8       71.0
  t1_r1.375_lm19_tmp3.0                        19   54.1    140    138     19.3       71.5
  t2_r1.125_s0_md33_sn0_lm17                   17   54.2    140    138     19.6       71.8
  t2_r1.25_s0_md33_sn0_lm17                    17   55.2    140    138     18.9       72.2
  t2_r1.75_s0_md33_sn0_lm19                    19   54.1    140    138     20.6       72.7
  t1_r1.75_s0_md33_sn0_lm19                    19   54.1    140    138     20.8       72.8
  t1_r1.5_s0_md33_sn0_lm19                     19   54.1    140    138     21.7       73.6
  t1_r1.125_s0_md33_sn0_lm17                   17   53.9    140    138     22.1       73.8
  t2_r1.625_lm19_tmp3.0                        19   79.1   2047    136     17.3       94.7
  t2_r1.75_s0_md33_sn0_lm23                    23   75.9   2115    116     21.9       95.6

  Winner: t1_r1.625_s0_md33_sn0_lm19
    mean=53.9, max=140 at chord 138, spread=13.7, combined=66.2

==============================================================================
Chorale: bwv257  (suffix: -trans-sa-opt.npy, spread_weight: 0.9)
==============================================================================
  Directory                                    lm   Mean    Max  MaxCh   Spread   Combined
  ------------------------------------------   --  -----  -----  -----  -------  ---------
  t1_r1.375_s0_md33_sn0_lm17                   17   57.0    140    128     19.1       74.2 <-- BEST
  t1_r1.75_s0_md33_sn0_lm17                    17   57.9    140    128     19.0       75.0
  t1_r1.25_s0_md33_sn0_lm19                    19   57.5    140    128     20.2       75.7
  t1_r1.125_lm19_tmp3.0                        19   57.8    140    128     20.0       75.8
  t1_r1.25_lm17_tmp3.0                         17   57.8    140    128     20.5       76.2
  t1_r1.375_s0_md33_sn0_lm19                   19   57.5    140    128     20.8       76.3
  t1_r1.125_lm17_tmp3.0                        17   57.8    140    128     20.6       76.3
  t1_r1.5_s0_md33_sn0_lm19                     19   58.3    140    128     20.2       76.5
  t1_r1.625_s0_md33_sn0_lm17                   17   57.5    140    128     21.2       76.5
